iter	Passed	Remaining
455	1003	1196
456	1005	1194
457	1007	1192
458	1009	1189
459	1011	1187
460	1013	1184
461	1015	1182
462	1017	1180
463	1019	1177
464	1021	1174
465	1023	1172
466	1024	1169
467	1026	1167
468	1028	1164
469	1030	1162
470	1032	1160
471	1035	1157
472	1036	1155
473	1038	1152
474	1040	1150
475	1042	1147
476	1044	1145
477	1046	1142
478	1048	1140
479	1050	1137
480	1052	1135
481	1054	1132
482	1055	1130
483	1057	1127
484	1059	1125
485	1061	1123
486	1063	1120
487	1065	1118
488	1067	1115
489	1069	1113
490	1072	1112
491	1075	1110
492	1077	1107
493	1079	1105
494	1081	1102
495	1083	1100
496	1085	1098
497	1086	1095
498	1088	1093
499	1090	1090
500	1092	1088
501	1094	1086
502	1096	1083
503	1098	1081
504	1100	1078
505	1102	1076
506	1104	1074
507	1106	1071
508	1108	1069
509	1110	1066
510	1112	1064
511	1114	1061
512	1116	1059
513	1117	1056
514	1119	1054
515	1121	1052
516	1123	1049
517	1125	1047
518	1127	1045
519	1129	1042
520	1131	1040
521	1133	1038
522	1135	1035
523	1137	1032
524	1138	1030
525	1140	1028
526	1142	1025
527	1144	1023
528	1146	1020
529	1148	1018
530	1150	1015
531	1152	1013
532	1153	1011
533	1155	1008
534	1157	1006
535	1159	1003
536	1161	1001
537	1163	998
538	1164	996
539	1166	994
540	1168	991
541	1170	989
542	1172	986
543	1174	984
544	1176	981
545	1178	979
546	1179	977
547	1182	974
548	1183	972
549	1185	970
550	1187	967
551	1189	965
552	1191	963
553	1193	960
554	1195	958
555	1197	956
556	1199	954
557	1201	951
558	1203	949
559	1204	946
560	1206	944
561	1209	942
562	1211	940
563	1213	937
564	1215	935
565	1217	933
566	1219	931
567	1220	928
568	1222	926
569	1224	923
570	1226	921
571	1228	919
572	1230	917
573	1232	914
574	1234	912
575	1236	909
576	1237	907
577	1239	905
578	1241	902
579	1243	900
580	1245	898
581	1247	896
582	1249	893
583	1251	891
584	1253	889
585	1255	886
586	1257	884
587	1259	882
588	1261	880
589	1263	877
590	1265	875
591	1266	873
592	1268	870
593	1271	868
594	1273	866
595	1275	864
596	1276	862
597	1278	859
598	1280	857
599	1282	855
600	1284	852
601	1286	850
602	1288	848
603	1290	846
604	1292	843
605	1294	841
606	1296	839
607	1298	837
608	1300	834
609	1302	832
610	1304	830
611	1306	828
612	1308	825
613	1310	823
614	1312	821
615	1314	819
616	1316	816
617	1318	814
618	1320	812
619	1322	810
620	1324	808
621	1326	805
622	1328	803
623	1330	801
624	1332	799
625	1334	797
626	1336	795
627	1338	793
628	1340	790
629	1342	788
630	1344	786
631	1346	784
632	1348	781
633	1350	779
634	1352	777
635	1354	775
636	1356	773
637	1358	770
638	1360	768
639	1362	766
640	1364	764
641	1366	762
642	1368	759
643	1370	757
644	1372	755
645	1374	753
646	1376	751
647	1379	749
648	1381	746
649	1382	744
650	1384	742
651	1386	740
652	1388	737
653	1390	735
654	1392	733
655	1394	731
656	1396	729
657	1398	726
658	1400	724
659	1402	722
660	1404	720
661	1406	717
662	1408	715
663	1410	713
664	1412	711
665	1414	709
666	1416	707
667	1418	704
668	1420	702
669	1422	700
670	1425	698
671	1427	696
672	1429	694
673	1431	692
674	1433	690
675	1435	688
676	1437	685
677	1439	683
678	1441	681
679	1443	679
680	1445	677
681	1448	675
682	1450	673
683	1452	670
684	1454	668
685	1455	666
686	1457	664
687	1459	661
688	1461	659
689	1463	657
690	1465	655
691	1467	653
692	1469	650
693	1471	648
694	1473	646
695	1475	644
696	1476	641
697	1478	639
698	1480	637
699	1482	635
700	1484	633
701	1486	630
702	1488	628
703	1490	626
